,代號,名稱
1128,3627,華信科
1129,3628,盈正
1130,3629,地心引力
1131,3630,新鉅科
1132,3631,晟楠
1133,3632,研勤
1134,3633,云光
1135,3642,駿熠電
1136,3645,達邁
1137,3646,艾恩特
1138,3652,精聯
1139,3653,健策
1140,3659,百辰
1141,3661,世芯-KY
1142,3663,鑫科
1143,3664,安瑞-KY
1144,3665,貿聯-KY
1145,3666,光耀
1146,3669,圓展
1147,3672,康聯訊
1148,3673,TPK-KY
1149,3674,康訊
1150,3675,德微
1151,3678,聯享
1152,3679,新至陞
1153,3680,家登
1154,3682,亞太電
1155,3684,榮昌
1156,3685,元創精密
1157,3686,達能
1158,3687,歐買尬
1159,3688,華立捷
1160,3689,湧德
1161,3691,碩禾
1162,3693,營邦
1163,3694,海華
1164,3698,隆達
1165,3701,大眾控
1166,3702,大聯大
1167,3702A,大聯大甲特
1168,3703,欣陸
1169,3704,合勤控
1170,3705,永信
1171,3706,神達
1172,3707,漢磊
1173,3708,上緯投控
1174,3709,鑫聯大投控
1175,3710,連展投控
1176,3711,日月光投控
1177,3712,永崴投控
1178,3713,新晶投控
1179,4102,永日
1180,4104,佳醫
1181,4105,東洋
1182,4106,雃博
1183,4107,邦特
1184,4108,懷特
1185,4109,加捷生醫
1186,4111,濟生
1187,4113,聯上
1188,4114,健喬
1189,4116,明基醫
1190,4117,普生
1191,4119,旭富
1192,4120,友華
1193,4121,優盛
1194,4123,晟德
1195,4126,太醫
1196,4127,天良
1197,4128,中天
1198,4129,聯合
1199,4129A,聯合甲特
1200,4130,健亞
1201,4131,晶宇
1202,4132,國鼎
1203,4133,亞諾法
1204,4136,太和-KY
1205,4137,麗豐-KY
1206,4138,曜亞
1207,4139,馬光-KY
1208,4141,龍燈-KY
1209,4142,國光生
1210,4144,康聯-KY
1211,4147,中裕
1212,4148,全宇生技-KY
1213,4150,優你康
1214,4151,明躍
1215,4152,台微體
1216,4153,鈺緯
1217,4154,康樂-KY
1218,4155,訊映
1219,4157,太景*-KY
1220,4160,創源
1221,4161,聿新科
1222,4162,智擎
1223,4163,鐿鈦
1224,4164,承業醫
1225,4166,友霖
1226,4167,展旺
1227,4168,醣聯
1228,4169,泰宗
1229,4170,鑫品
1230,4171,瑞基
1231,4172,因華
1232,4173,久裕
1233,4174,浩鼎
1234,4175,杏一
1235,4183,福永生技
1236,4186,尖端醫
1237,4188,安克
1238,4190,佐登-KY
1239,4191,法德藥
1240,4192,杏國
1241,4194,禾生技
1242,4195,基米
1243,4197,暐世
1244,4198,環瑞醫
1245,4205,中華食
1246,4207,環泰
1247,4303,信立
1248,4304,勝昱
1249,4305,世坤
1250,4306,炎洲
1251,4401,東隆興
1252,4402,福大
1253,4406,新昕纖
1254,4413,飛寶企業
1255,4414,如興
1256,4416,三圓
1257,4417,金洲
1258,4419,元勝
1259,4420,光明
1260,4426,利勤
1261,4429,聚紡
1262,4430,耀億
1263,4431,敏成
1264,4432,銘旺實
1265,4433,興采
1266,4438,廣越
1267,4439,冠星-KY
1268,4440,宜新實業
1269,4502,健信
1270,4503,金雨
1271,4506,崇友
1272,4510,高鋒
1273,4513,福裕
1274,4523,永彰
1275,4526,東台
1276,4527,方土霖
1277,4528,江興鍛
1278,4529,淳紳
1279,4530,宏易
1280,4532,瑞智
1281,4533,協易機
1282,4534,慶騰
1283,4535,至興
1284,4536,拓凱
1285,4537,旭東
1286,4538,大詠城
1287,4540,全球傳動
1288,4541,晟田
1289,4542,科嶠
1290,4543,萬在
1291,4544,春日
1292,4545,銘鈺
1293,4546,長亨
1294,4549,桓達
1295,4550,長佳
1296,4551,智伸科
1297,4552,力達-KY
1298,4553,盛復
1299,4554,橙的
1300,4555,氣立
1301,4556,旭然
1302,4557,永新-KY
1303,4558,寶緯
1304,4559,久裕興
1305,4560,強信-KY
1306,4561,健椿
1307,4562,穎漢
1308,4563,百德
1309,4564,元翎
1310,4565,宏偉
1311,4566,時碩工業
1312,4568,科際精密
1313,4570,傑生
1314,4571,鈞興-KY
1315,4572,駐龍
1316,4573,高明鐵
1317,4575,銓寶
1318,4576,大銀微系統
1319,4578,總格精密
1320,4580,捷流閥業
1321,4581,光隆精密-KY
1322,4582,聚恆
1323,4609,唐鋒
1324,4702,中美實
1325,4706,大恭
1326,4707,磐亞
1327,4711,永純
1328,4712,南璋
1329,4714,永捷
1330,4716,大立
1331,4720,德淵
1332,4721,美琪瑪
1333,4722,國精化
1334,4725,信昌化
1335,4726,永昕
1336,4728,雙美
1337,4729,熒茂
1338,4730,通用
1339,4732,彥臣
1340,4735,豪展
1341,4736,泰博
1342,4737,華廣
1343,4738,尚化
1344,4739,康普
1345,4741,泓瀚
1346,4743,合一
1347,4744,皇將
1348,4745,合富-KY
1349,4746,台耀
1350,4747,強生
1351,4754,國碳科
1352,4755,三福化
1353,4760,勤凱
1354,4763,材料-KY
1355,4764,雙鍵
1356,4765,磐采
1357,4766,南寶
1358,4767,誠泰科技
1359,4768,晶呈科技
1360,4803,VHQ-KY
1361,4804,大略-KY
1362,4806,昇華
1363,4807,日成-KY
1364,4903,聯光通
1365,4904,遠傳
1366,4905,台聯電
1367,4906,正文
1368,4907,富宇
1369,4908,前鼎
1370,4909,新復興
1371,4911,德英
1372,4912,聯德控股-KY
1373,4915,致伸
1374,4916,事欣科
1375,4919,新唐
1376,4923,力士
1377,4924,欣厚-KY
1378,4925,智微
1379,4927,泰鼎-KY
1380,4930,燦星網
1381,4931,新盛力
1382,4933,友輝
1383,4934,太極
1384,4935,茂林-KY
1385,4938,和碩
1386,4939,亞電
1387,4942,嘉彰
1388,4943,康控-KY
1389,4944,兆遠
1390,4945,陞達科技
1391,4946,辣椒
1392,4950,牧東
1393,4951,精拓科
1394,4952,凌通
1395,4953,緯軟
1396,4956,光鋐
1397,4958,臻鼎-KY
1398,4960,誠美材
1399,4961,天鈺
1400,4966,譜瑞-KY
1401,4967,十銓
1402,4968,立積
1403,4971,IET-KY
1404,4972,湯石照明
1405,4973,廣穎
1406,4974,亞泰
1407,4976,佳凌
1408,4977,眾達-KY
1409,4979,華星光
1410,4980,佐臻
1411,4987,科誠
1412,4989,榮科
1413,4991,環宇-KY
